

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
12  0.364552  0.135121  2.697966  0.547980  0.140103    214.127848  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.183483  0.151053  1.214693  0.500000  0.141891    211.429947  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.633033  0.222422  2.846087  0.489899  0.138852    216.057847  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.550574  0.214990  2.560924  0.520202  0.135620    221.205687  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.582518  0.251649  2.314801  0.510101  0.137918    217.520208  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.139021  0.119979  1.158715  0.522727  0.124321    241.310439  2020-10-17 2022-10-16 2022-10-17 2023-10-16
18 -0.028691  0.181332 -0.158222  0.531507  0.134761    222.616599  2020-12-16 2022-12-15 2022-12-16 2023-12-15
19 -0.065048  0.174916 -0.371882  0.479452  0.135065    222.115843  2021-02-14 2023-02-13 2023-02-14 2024-02-13
20  0.121512  0.160710  0.756096  0.510929  0.128680    233.136681  2021-04-15 2023-04-14 2023-04-15 2024-04-14
21  0.016056  0.110452  0.145365  0.510929  0.112739    266.100982  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.042983  0.117404 -0.366114  0.510929  0.117769    254.736435  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.1, exit=1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.178677  0.252239  0.708365  0.463476  0.140021    214.253497  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.162196  0.304688  0.532335  0.482323  0.156375    191.846106  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.222948  0.289821 -0.769261  0.476712  0.158683    189.056666  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.332823  0.311574  1.068198  0.534247  0.170847    175.596072  2018-06-30 2020-06-29 2020-06-30 2021-06-29
